FilePath,Project,CatchQuantity,CatchSizeLOC,CatchSizeSLOC,CaughtExceptions,TotalPossibleExceptions,PercentageOfCaughtExceptions
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\documentation\src\main\asciidoc\integrationguide\chapters\services\extras\BootstrapServiceRegistryBuilder-example.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\documentation\src\main\asciidoc\integrationguide\chapters\services\extras\extend\DisabledEventPublishingServiceImpl.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\documentation\src\main\asciidoc\integrationguide\chapters\services\extras\extend\EventPublishingService.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\documentation\src\main\asciidoc\integrationguide\chapters\services\extras\extend\EventPublishingServiceContributor.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\documentation\src\main\asciidoc\integrationguide\chapters\services\extras\extend\EventPublishingServiceImpl.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\documentation\src\main\asciidoc\integrationguide\chapters\services\extras\extend\EventPublishingServiceInitiator.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\documentation\src\main\asciidoc\integrationguide\chapters\services\extras\override\ex1-direct.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\documentation\src\main\asciidoc\integrationguide\chapters\services\extras\override\ex2-contributor.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\documentation\src\main\asciidoc\integrationguide\chapters\services\extras\override\ex3-app.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\documentation\src\main\asciidoc\integrationguide\chapters\services\extras\override\ex3-contributor.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\documentation\src\main\asciidoc\integrationguide\chapters\services\extras\override\LatestAndGreatestConnectionProviderImpl.java,hibernate-5.0,0,0,0,0,0,0.0
